Round;TopicNo;Topic;QuestionDifficulty;QuestionType;Question;Answer;MultimediaId
1;1;Тема1;1;Picture;Тема1 - Вопрос1;Тема1 - Вопрос1 - Ответ;4CA81663-D12D-4185-A9E9-E6DA3A03AEBA
1;1;Тема1;2;Picture;Тема1 - Вопрос2;Тема1 - Вопрос2 - Ответ;4CA81663-D12D-4185-A9E9-E6DA3A03AEBA
1;1;Тема1;3;Picture;Тема1 - Вопрос3;Тема1 - Вопрос3 - Ответ;4CA81663-D12D-4185-A9E9-E6DA3A03AEBA
1;1;Тема1;4;Picture;Тема1 - Вопрос4;Тема1 - Вопрос4 - Ответ;4CA81663-D12D-4185-A9E9-E6DA3A03AEBA
1;1;Тема1;5;Picture;Тема1 - Вопрос5;Тема1 - Вопрос5 - Ответ;4CA81663-D12D-4185-A9E9-E6DA3A03AEBA
1;2;Тема2;1;Text;Тема2 - Вопрос1;Тема2 - Вопрос1 - Ответ;
1;2;Тема2;2;Text;Тема2 - Вопрос2;Тема2 - Вопрос2 - Ответ;
1;2;Тема2;3;Text;Тема2 - Вопрос3;Тема2 - Вопрос3 - Ответ;
1;2;Тема2;4;Text;Тема2 - Вопрос4;Тема2 - Вопрос4 - Ответ;
1;2;Тема2;5;Text;Тема2 - Вопрос5;Тема2 - Вопрос5 - Ответ;
1;3;Тема3;1;Text;Тема3 - Вопрос1;Тема3 - Вопрос1 - Ответ;
1;3;Тема3;2;Text;Тема3 - Вопрос2;Тема3 - Вопрос2 - Ответ;
1;3;Тема3;3;Text;Тема3 - Вопрос3;Тема3 - Вопрос3 - Ответ;
1;3;Тема3;4;Text;Тема3 - Вопрос4;Тема3 - Вопрос4 - Ответ;
1;3;Тема3;5;Text;Тема3 - Вопрос5;Тема3 - Вопрос5 - Ответ;
1;4;Тема4;1;Text;Тема4 - Вопрос1;Тема4 - Вопрос1 - Ответ;
1;4;Тема4;2;Text;Тема4 - Вопрос2;Тема4 - Вопрос2 - Ответ;
1;4;Тема4;3;Text;Тема4 - Вопрос3;Тема4 - Вопрос3 - Ответ;
1;4;Тема4;4;Text;Тема4 - Вопрос4;Тема4 - Вопрос4 - Ответ;
1;4;Тема4;5;Text;Тема4 - Вопрос5;Тема4 - Вопрос5 - Ответ;
1;5;Тема5;1;Text;Тема5 - Вопрос1;Тема5 - Вопрос1 - Ответ;
1;5;Тема5;2;Text;Тема5 - Вопрос2;Тема5 - Вопрос2 - Ответ;
1;5;Тема5;3;Text;Тема5 - Вопрос3;Тема5 - Вопрос3 - Ответ;
1;5;Тема5;4;Text;Тема5 - Вопрос4;Тема5 - Вопрос4 - Ответ;
1;5;Тема5;5;Text;Тема5 - Вопрос5;Тема5 - Вопрос5 - Ответ;
1;6;Тема6;1;Text;Тема6 - Вопрос1;Тема6 - Вопрос1 - Ответ;
1;6;Тема6;2;Text;Тема6 - Вопрос2;Тема6 - Вопрос2 - Ответ;
1;6;Тема6;3;Text;Тема6 - Вопрос3;Тема6 - Вопрос3 - Ответ;
1;6;Тема6;4;Text;Тема6 - Вопрос4;Тема6 - Вопрос4 - Ответ;
1;6;Тема6;5;Text;Тема6 - Вопрос5;Тема6 - Вопрос5 - Ответ;
1;7;Тема7;1;Text;Тема7 - Вопрос1;Тема7 - Вопрос1 - Ответ;
1;7;Тема7;2;Text;Тема7 - Вопрос2;Тема7 - Вопрос2 - Ответ;
1;7;Тема7;3;Text;Тема7 - Вопрос3;Тема7 - Вопрос3 - Ответ;
1;7;Тема7;4;Text;Тема7 - Вопрос4;Тема7 - Вопрос4 - Ответ;
1;7;Тема7;5;Text;Тема7 - Вопрос5;Тема7 - Вопрос5 - Ответ;
1;8;Тема8;1;Text;Тема8 - Вопрос1;Тема8 - Вопрос1 - Ответ;
1;8;Тема8;2;Text;Тема8 - Вопрос2;Тема8 - Вопрос2 - Ответ;
1;8;Тема8;3;Text;Тема8 - Вопрос3;Тема8 - Вопрос3 - Ответ;
1;8;Тема8;4;Text;Тема8 - Вопрос4;Тема8 - Вопрос4 - Ответ;
1;8;Тема8;5;Text;Тема8 - Вопрос5;Тема8 - Вопрос5 - Ответ;
